Timestamp,Total,Whole,Broken,Foreign,Quality %,Image File
2025-12-11_11-46-30,8,6,2,1,75%,rice_scan_2025-12-11_11-46-30.jpg
2025-12-11_11-46-32,10,7,3,0,70%,rice_scan_2025-12-11_11-46-32.jpg
2025-12-11_11-46-32,9,7,2,0,77%,rice_scan_2025-12-11_11-46-32.jpg
2025-12-11_11-46-33,9,7,2,0,77%,rice_scan_2025-12-11_11-46-33.jpg
2025-12-11_11-46-33,9,7,2,0,77%,rice_scan_2025-12-11_11-46-33.jpg
2025-12-11_11-46-33,8,7,1,0,87%,rice_scan_2025-12-11_11-46-33.jpg
2025-12-11_11-46-36,9,7,2,0,77%,rice_scan_2025-12-11_11-46-36.jpg
2025-12-11_11-46-36,9,7,2,0,77%,rice_scan_2025-12-11_11-46-36.jpg
2025-12-11_11-46-36,8,6,2,0,75%,rice_scan_2025-12-11_11-46-36.jpg
2025-12-11_11-46-36,8,6,2,0,75%,rice_scan_2025-12-11_11-46-36.jpg
2025-12-11_11-46-55,8,7,1,0,87%,rice_scan_2025-12-11_11-46-55.jpg
2025-12-11_11-46-55,8,6,2,0,75%,rice_scan_2025-12-11_11-46-55.jpg
2025-12-11_11-46-56,8,7,1,0,87%,rice_scan_2025-12-11_11-46-56.jpg
2025-12-11_11-46-56,8,6,2,0,75%,rice_scan_2025-12-11_11-46-56.jpg
2025-12-11_11-46-56,9,7,2,0,77%,rice_scan_2025-12-11_11-46-56.jpg
2025-12-11_11-46-56,10,7,3,0,70%,rice_scan_2025-12-11_11-46-56.jpg
2025-12-11_11-46-57,8,6,2,0,75%,rice_scan_2025-12-11_11-46-57.jpg
2025-12-11_11-46-57,10,7,3,0,70%,rice_scan_2025-12-11_11-46-57.jpg
2025-12-11_11-46-57,8,6,2,0,75%,rice_scan_2025-12-11_11-46-57.jpg
2025-12-11_11-46-58,9,7,2,1,77%,rice_scan_2025-12-11_11-46-58.jpg
2025-12-11_11-46-58,10,7,3,1,70%,rice_scan_2025-12-11_11-46-58.jpg
2025-12-11_11-46-58,8,6,2,1,75%,rice_scan_2025-12-11_11-46-58.jpg
2025-12-11_11-46-59,10,7,3,0,70%,rice_scan_2025-12-11_11-46-59.jpg
2025-12-11_17-21-31,8,5,3,0,9.88,62%,rice_scan_2025-12-11_17-21-31.jpg
